id;reference;name;description;email;telephone;address;postal_code;region;locality;country;location;created_at;updated_at;organization_id
1;miniature;beach;needily afore wherever;Timoteo24@gmail.com;948 425 149;requite pupa ew;psst;safely gah;with;Tanzania;lurk;2024-03-26T14:47:52;2024-03-27T02:56:13;1
2;until;mmm upward;quail yawningly;Eloisa_LermaAguirre78@gmail.com;916.243.839;thoughtfully;oof dismiss phew;um effectiveness off;psst safely;Bélgica;crimp exasperate;2024-03-27T00:33:20;2024-03-26T14:56:16;2
3;ew;huzzah washbasin;modern thunderous ew;Eduardo_VanegasGalvan91@hotmail.com;955-994-615;boohoo indeed;or how;past;malign until furthermore;Nauru;phooey;2024-03-27T04:28:12;2024-03-27T12:16:45;3
4;oblong whose fast;snap oh forge;ouch;Alicia_MadridOlivo@hotmail.com;930 972 600;goal;as impressive;vainly scornful guinea;baa;Moldavia;inch;2024-03-27T06:59:27;2024-03-26T19:17:18;4
5;experienced out gadzooks;versus;yet;Beatriz84@hotmail.com;934 591 482;noted calmly;about unto drat;salary generously concerning;honestly sandbar gadzooks;Colombia;splay;2024-03-26T14:46:01;2024-03-27T01:48:01;5
6;gadzooks provided gadzooks;times;bureau revenue;Cristobal5@yahoo.com;968 975 849;gadzooks;bath;upload;trusty nucleotidase;Senegal;gadzooks phew;2024-03-26T18:03:06;2024-03-27T08:01:39;6
7;resource underscore with;cop tremendously tether;with;MariadelosAngeles_AguayoBaca87@gmail.com;998728528;donut until;and wetly;once click those;welcome nicely;Guinea-Bisau;jovial oh for;2024-03-26T14:13:23;2024-03-26T17:17:44;7
8;lest;duh bah down;if lion finally;Eva.YanezTamez43@yahoo.com;949 165 577;dimpled talkative;hence;filthy;meh towards;Guinea Ecuatorial;gravel;2024-03-26T21:14:25;2024-03-27T12:37:00;8
9;successfully between;among margarine;too;Clemente.LongoriaTorres@hotmail.com;992651959;instead;simmer pish;plaintive before ick;upbeat woot downturn;Tunez;along mixer;2024-03-26T23:40:47;2024-03-26T19:08:19;9
10;whoever amendment;fortunate gift graffiti;dreamily er;Irene74@gmail.com;957 185 020;per scheduling;boohoo secrete yowza;guzzle gerrymander how;yippee gnat times;Bahamas;dimpled incomparable unwind;2024-03-27T01:43:54;2024-03-27T00:01:54;10
